,value,timeOffset,referenceTime
471,2.6,PT0H,2024-04-16T00:00:00.000Z
472,2.0,PT0H,2024-04-17T00:00:00.000Z
473,4.5,PT0H,2024-04-18T00:00:00.000Z
474,3.6,PT0H,2024-04-19T00:00:00.000Z
475,2.1,PT0H,2024-04-20T00:00:00.000Z
476,5.4,PT0H,2024-04-21T00:00:00.000Z
477,5.8,PT0H,2024-04-22T00:00:00.000Z
478,1.8,PT0H,2024-04-23T00:00:00.000Z
479,2.0,PT0H,2024-04-24T00:00:00.000Z
480,3.4,PT0H,2024-04-25T00:00:00.000Z
481,1.7,PT0H,2024-04-26T00:00:00.000Z
482,1.5,PT0H,2024-04-27T00:00:00.000Z
483,2.2,PT0H,2024-04-28T00:00:00.000Z
484,2.4,PT0H,2024-04-29T00:00:00.000Z
485,2.3,PT0H,2024-04-30T00:00:00.000Z
486,2.6,PT0H,2024-05-01T00:00:00.000Z
487,0.9,PT0H,2024-05-02T00:00:00.000Z
488,1.9,PT0H,2024-05-03T00:00:00.000Z
489,2.6,PT0H,2024-05-04T00:00:00.000Z
490,3.3,PT0H,2024-05-05T00:00:00.000Z
491,2.8,PT0H,2024-05-06T00:00:00.000Z
492,3.8,PT0H,2024-05-07T00:00:00.000Z
493,4.2,PT0H,2024-05-08T00:00:00.000Z
494,4.0,PT0H,2024-05-09T00:00:00.000Z
495,2.7,PT0H,2024-05-10T00:00:00.000Z
